Feature:,Collapse Group:,Notes:
mh_lymphoma,Lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket.
mh_mesothelioma,Mesothelioma,
mh_multi-system organ failure,Multi-System Organ Failure,
mh_multiple myeloma,Multiple Myeloma,
mh_pre-multiple myeloma,Pre-Multiple Myeloma,
mh_neurogenic bladder,Neurogenic Bladder,
mh_neuropathy,Neuropathy,Nerve damage/dysfunction.
mh_neutropenic fever,Neutropenic Fever,"Fever occurring with a low white-blood-cell count, usually in the context of chemotherapy or blood disorder -- related to but distinct from the general blood-abnormality group above."
mh_arrhthmia,Arrhthmia,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_cardiac arrest,Cardiac Arrest,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_implantable cardioverter-defibrillator,Implantable Cardioverter-Defibrillator,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_pacemaker,Pacemaker,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_tachycardia,Tachycardia,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_Paget's disease,Paget'S Disease,"Rare chronic bone disorder, distinct entity."
mh_pancreatic cancer,Pancreatic Cancer,
mh_chronic pancreatitis,Chronic Pancreatitis,
mh_paraplegia,Paraplegia,
mh_peripheral vascular disease,Peripheral Vascular Disease,
mh_aspiration pneumonia,Aspiration Pneumonia,"Acute lung infection, distinct from chronic lung disease."
mh_pneumonia,Pneumonia,"Acute lung infection, distinct from chronic lung disease."
mh_polyps removed,Polyps Removed,Likely colon polyps (precancerous) -- distinct from confirmed colorectal cancer diagnoses.
mh_Prostate cancer,Prostate Cancer,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_enlarged prostate,Enlarged Prostate,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostate cancer,Prostate Cancer,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostectomy,Prostectomy,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_Raynand's disease,Raynand'S Disease,"""mh_Raynand's disease"" looks like a typo for ""Raynaud's disease""."
mh_shortness of breath,Shortness Of Breath,Generic respiratory symptom/failure notes without a named diagnosis.
mh_restless leg syndrome,Restless Leg Syndrome,
mh_rheumatic fever as child,Rheumatic Fever As Child,
mh_scleroderma,Scleroderma,
mh_possible sepsis,Possible Sepsis,
mh_herpes zoster,Herpes Zoster,
mh_sinusitis,Sinusitis,
mh_skin cancer,Skin Cancer,
mh_spinal cancer,Spinal Cancer,
mh_scoliosis,Scoliosis,
mh_spinal stenosis,Spinal Stenosis,
mh_staph infx. In blood,Staph Infx. In Blood,
mh_stomach cancer (surgery 25+ ys ago),Stomach Cancer (Surgery 25+ Ys Ago),
mh_Thyroid Cancer,Thyroid Cancer,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroidectomy,Thyroidectomy,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroiditis,Thyroiditis,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_s/p tonsillectomy,S/P Tonsillectomy,"s/p = ""status post,"" i.e. after/following."
mh_valve disease due to rheumatic fever as child,Valve Disease Due To Rheumatic Fever As Child,Heart valve disease/replacement.
mh_vascualr surgery,Vascualr Surgery,"""mh_vascualr surgery"" looks like a typo for ""vascular surgery""."
mh_vasculitis,Vasculitis,
mh_Vertigo,Vertigo,Balance/dizziness disorder.
mh_Waldenstrom's disease,Waldenstrom's Disease,"Rare blood cancer, distinct entity."
mh_Wegener's disease,Wegener's Disease,Autoimmune vasculitis.
mh_-,-,treating as missing data
mh_N/A,N/A,treating as missing data
oc_AMD (Avastin injections),Amd (Avastin Injections),"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (Lucentis injections),Amd (Lucentis Injections),"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (OD),Amd (Od),"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (took vitamins),Amd (Took Vitamins),"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (wet),Amd (Wet),"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD -took vitamins,Amd -Took Vitamins,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD?,AMD?,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_macular degeneraton,Macular Degeneraton,"Likely typo for ""macular degeneration"" -- another AMD chart note that restates the label; should be excluded as leakage, same as the oc_AMD variants."
oc_on Ocuvite,On Ocuvite,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_retinal injection,Retinal Injection,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_confirmed aphakic (OD),Confirmed Aphakic (OD),Distinct from pseudophakic -- lens removed with no replacement implant. Do not merge with pseudophakic.
oc_outer layer chemical damage fixed,Outer Layer Chemical Damage Fixed,
oc_contact lens,Contact Lens,
oc_cornea transplant,Cornea Transplant,
oc_Saw eye doctor,Saw Eye Doctor,"Records that an eye exam occurred, not a specific diagnosis -- low information value as a feature."
oc_Glaucoma,Glaucoma,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
oc_eyes med to decrease IOP,Eyes Med To Decrease Iop,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
oc_sensitive to light,Sensitive To Light,
oc_Ocular Albinism,Ocular Albinism,
oc_herpes/shingles infection in eye,Herpes/Shingles Infection In Eye,
oc_metal fragment penetrate one eye - removed by dr. (2 yr ago),Metal Fragment Penetrate One Eye - Removed By Dr. (2 Yr Ago),
oc_drops at time of surgery,Drops At Time Of Surgery,"Refers to drops used during/around a surgical procedure, not a chronic dry-eye diagnosis -- keep separate from the dry eye group above."
oc_Retinal occlusion (OD) - surgery 2011,Retinal Occlusion (OD) - Surgery 2011,"Distinct condition from retinal detachment -- a vascular blockage, not a structural detachment."
oc_bilat severe visual impairment,Bilat Severe Visual Impairment,"""oc_patially blind"" looks like a typo for ""partially blind""."
oc_patially blind due to blod clot (OD),Patially Blind Due To Blod Clot (OD),"""oc_patially blind"" looks like a typo for ""partially blind""."
oc_?,?,treating as missing data
oc_n/a,N/A,treating as missing data
oc_unknown,Unknown,treating as missing data
